NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
Small Bucket,1991,Basic,0,60,0.000000
Small White Bands (Pack of 24),2002,Service Packs,0,1,0.000000
Advent Calendar 1999 (Day 20) Cow,1999,Advent Sub-Set,0,7,0.000000
Advent Calendar 2005 City (Day  9) Construction Worker,2005,City,0,5,0.000000
LEGO Japan Small Duck,2003,Other,0,7,0.000000
Tipper Trucks and Loader,1973,Construction,0,26,0.000000
Cameraman,2001,Studios,0,17,0.000000
Spyrius Fold-Wing Spacecraft,1996,Spyrius,0,31,0.000000
Small Soccer Set 2 (Polybag),2002,Soccer,0,12,0.000000
Advent Calendar 2008 City (Day 13) Diver and Spear Gun,2008,City,0,2,0.000000
Police Patrol,1978,Police,0,13,0.000000
Skopio XV-1,2009,Battle Vehicles,0,81,0.000000
Technic Beams with Snaps,2008,Technic,0,2,0.000000
Monthly Mini Model Build March 2012 - Garden and Earthworm,2012,Monthly Mini Model Build,0,17,0.000000
Micro Manager Battle,2014,The LEGO Movie,0,18,0.000000
2 x 4 Brown Ridge Roof Tiles Steep Sloped,2003,Bulk Bricks,0,1,0.000000
4 x 8 Curved & 2 x 8 Plates,1956,Supplemental,0,3,0.000000
2 x 8 Red Bricks,2000,Bulk Bricks,0,1,0.000000
House,2007,Building,0,76,0.000000
Air Boat,2001,Studios,0,19,0.000000
Deluxe Brick Box,2010,Basic Set,0,93,0.000000
T3-Trike,2001,Life On Mars,0,49,0.000000
6 International Flags -2-,1963,Supplemental,0,6,0.000000
Rover Discovery,1998,Off-Road,0,13,0.000000
Breezeway Cafe,2002,Food & Drink,0,62,0.000000
Cyber Strikers,1998,Competition,0,59,0.000000
Azari’s Magic Fire,2015,Elves,0,21,0.000000
Sweeper & Excavator,2017,City,0,113,0.000000
Monthly Mini Model Build July 2013 - Crab,2013,Monthly Mini Model Build,0,16,0.000000
Reindeer (Legoland California),2005,Holiday,0,23,0.000000
"Advent Calendar 2014, Friends (Day 2) - Sled",2014,Friends,0,8,0.000000
Fire Station,2016,Fire,0,242,0.000000
Adventure Camp Bridge,2016,Friends,0,21,0.000000
Torts,2014,Series 3,0,21,0.000000
LEGO Inside Tour (LIT) Exclusive 2009 Edition - Ole Kirk's House,2009,Other,0,63,0.000000
Pahrak Va,2002,Bohrok Va,0,18,0.000000
LEGO TECHNIC Storage Case,1996,Technic,0,1,0.000000
Vorahk - With Shadow Kraata,2003,Rahkshi,0,20,0.000000
6 Street Lamps with Curved Top (The Building Toy),1966,Supplemental,0,1,0.000000
Advent Calendar 1999,1999,Advent,0,43,0.000000
Dune Buggy,1981,Expert Builder,0,47,0.000000
Rapid Rider,1999,Rock Raiders,0,27,0.000000
Name Letter Pack,2004,Other,0,31,0.000000
Advent Calendar 2004 Creator (Day  2) Plane,2004,Creator,0,7,0.000000
Turbo Quad,2014,Traffic,0,71,0.000000
Advent Calendar 2008 City (Day 3) Table Cup and Frying Pan,2008,City,0,4,0.000000
Advent Calendar 2005 Clikits (Day 20) Paper Clip,2005,Clikits,0,3,0.000000
Advent Calendar 2004 Creator (Day 17) Speedboat,2004,Creator,0,12,0.000000
Ruler of the Jungle,1999,Jungle,0,19,0.000000
Fierce Flyer,2013,Creator,0,49,0.000000
House Project Set,2002,Service Packs,0,32,0.000000
All Kinds of Animals / Lap Table,2001,Basic Set,0,36,0.000000
SP Undercover Cruiser,2010,Space Police III,0,100,0.000000
Ambulance,1978,Hospital,0,15,0.000000
Aircraft,2016,Pick A Model,0,10,0.000000
Vakama (bagged),2003,Turaga,0,15,0.000000
Advent Calendar 2010 Kingdoms (Day 13) - Prince with Sword,2010,Castle,0,5,0.000000
Advent Calendar 2010 City (Day 1) Snowman with Broom,2010,City,0,9,0.000000
Turbo Prop I,1987,Airport,0,36,0.000000
Green Racer,2003,Drome Racers,0,14,0.000000
Advent Calendar 2003 Creator (Day  8) Parrot,2003,Creator,0,7,0.000000
Broadside's Brig,1991,Imperial Soldiers,0,40,0.000000
Advent Calendar 1998 Classic Basic (Day  6) Airplane,1998,Classic Basic,0,7,0.000000
Wishing Well,2017,Friends,0,13,0.000000
Locomotive without Motor,1967,4.5V,0,23,0.000000
Advent Calendar 2000 (Day 13) Boat,2000,Advent Sub-Set,0,7,0.000000
Cat Show,2004,Playhouse,0,20,0.000000
"Advent Calendar 2012, Friends (Day 13) - Stool and Plate with Candies",2012,Friends,0,4,0.000000
Hot Dog Cart,2013,Creator,0,29,0.000000
Freestyle Duck,1995,Freestyle,0,7,0.000000
2 x 4 Ridge Roof Tile Low Sloped Red,2003,Bulk Bricks,0,1,0.000000
Hang-Glider,1998,Extreme Team,0,15,0.000000
"Advent Calendar 2013, Friends (Day 12) - Presents",2013,Friends,0,5,0.000000
Knight & Catapult,2008,Fantasy Era,0,17,0.000000
1280 mm Connecting Leads (Pack of 3),2002,Technic,0,1,0.000000
Television Room,1978,Homemaker,0,30,0.000000
TIE Interceptor - Mini (Polybag),2005,Star Wars Episode 4/5/6,0,11,0.000000
Soft Brick Activity Set,2000,Soft Bricks,0,3,0.000000
Small Freestyle Bucket,1995,Freestyle,0,38,0.000000
Black Cruiser,2003,Orient Expedition,0,18,0.000000
Vintage Minifigure Collection Vol. 1 - 2012 Edition,2012,Collectible Minifigures,0,15,0.000000
Hero Factory Booster Pack,2012,Hero Factory,0,3,0.000000
Crest Basic Building Set,1985,Basic,0,6,0.000000
Front-End Loader Black Box,2004,Construction,0,54,0.000000
Passenger Plane - Iberia Version,2004,Airport,0,55,0.000000
Basic Bricks (black),1999,Service Packs,0,12,0.000000
Bulldozer,1986,Construction,0,34,0.000000
Flexible Rails,2011,RC Train,0,3,0.000000
Advent Calendar 2004 Clikits (Day 13) Hair Band,2004,Clikits,0,4,0.000000
Firecracker Catapult,2016,Nexo Knights,0,11,0.000000
Lion Cub's Savannah,2014,Animals,0,24,0.000000
Advent Calendar 2002 Creator (Day 15) Duck,2002,Creator,0,6,0.000000
Space Probe,1999,Space Port,0,15,0.000000
LEGO Town Plan Wooden Board,1957,Town Plan,0,1,0.000000
Policeman and Crook Foil Pack,2017,Police,0,14,0.000000
LEGO Competition Racers: Racers Fly Wheel Side Rider,2006,Power Racers,0,38,0.000000
Midnight Transport,1993,Airport,0,103,0.000000
Street Crew,1979,Construction,0,29,0.000000
Office,1985,Fabuland,0,6,0.000000
This moments,2015,Friends,0,12,0.000000
Dragon Wagon,1993,Castle,0,65,0.000000
"1 x 4 x 5 Black Window Frames, Transparent Blue Panes",2001,Bulk Bricks,0,2,0.000000
Basic Building Set,1987,Basic,0,112,0.000000
"Bogieplates, Black",1992,Train,0,1,0.000000
Town Hall,1979,Fabuland,0,35,0.000000
Holiday Set 1 of 2,2011,Christmas,0,28,0.000000
Advent Calendar 2006 City (Day  9) Computer Desk & Chair,2006,City,0,7,0.000000
Cherry Picker,2015,Traffic,0,49,0.000000
"Battery Tender, Red",1987,Train,0,2,0.000000
Baja Desert Racers,2003,Drome Racers,0,50,0.000000
Overhead Gantry and Lighting Maintenance Wagon,1983,4.5V,0,38,0.000000
Wheel Bricks with Large Red Train Wheels,1981,Train,0,1,0.000000
London Bus,1973,Factory,0,27,0.000000
Mobile Rocket Launcher,1979,Classic Space,0,34,0.000000
Scorpion Detector,1996,Exploriens,0,84,0.000000
Sceneries Set,2010,Creator,0,107,0.000000
Police Boat,2006,Police,0,99,0.000000
Motor Bushes,1977,Train,0,1,0.000000
Buzz's Mini Ship,2010,Toy Story,0,13,0.000000
Central Station,1975,4.5V,0,40,0.000000
Holiday Set 2 of 2,2011,Christmas,0,34,0.000000
Rose,2010,Seasonal,0,10,0.000000
Advent Calendar 2007 Belville (Day 23) Toy Castle,2007,Belville,0,9,0.000000
Good Guy 07,2007,Bionicle,0,11,0.000000
Helicopter Arrest,2013,Police,0,163,0.000000
LEGO® Red Brick Key Chain,2007,Key Chain,0,1,0.000000
Light Gray Plates 2 x n,2002,Bulk Bricks,0,6,0.000000
Vornon,2014,Legends of Chima,0,9,0.000000
Storage Cloth,1980,Supplemental,0,1,0.000000
Knight's Cycle,2016,Nexo Knights,0,23,0.000000
Fire Starter Set,2016,Fire,0,60,0.000000
Red Roof Tiles,2004,Bulk Bricks,0,4,0.000000
Monthly Mini Model Build March 2013 - Turtle,2013,Monthly Mini Model Build,0,14,0.000000
Small Creator Bucket,2002,Basic Set,0,14,0.000000
1 x 2 Bricks,1955,Supplemental,0,1,0.000000
Neptune Carrier,2010,Atlantis,0,145,0.000000
"6 x 8 Plates, White",1966,Supplemental,0,1,0.000000
Classic Trial Box,2000,Classic Basic,0,9,0.000000
Dacta Space Theme Set,1990,Space,0,95,0.000000
Axles and Extenders,1998,Technic,0,9,0.000000
Penguin Ice Slide,2015,Friends,0,9,0.000000
Payloader,1973,Construction,0,17,0.000000
Ganrash,2012,Game,0,24,0.000000
Police Units,1976,Police,0,22,0.000000
Advent Calendar 2008 Castle  (Day 3) - Armour Stand,2008,Castle,0,7,0.000000
"Advent Calendar 2001, Creator (Day 22) Helicopter",2001,Advent Sub-Set,0,8,0.000000
Patrol Car,1999,Town,0,16,0.000000
Captain America's Motorcycle,2016,Marvel,0,21,0.000000
Airport,2005,Factory,0,58,0.000000
"LEGO Store Grand Opening Exclusive Set, Roosevelt Field Mall, Garden City, NY",2010,LEGO Brand Store,0,27,0.000000
Transparent Bricks,1987,Service Packs,0,11,0.000000
Winter Fun,2015,Friends,0,17,0.000000
Battle Cars,2001,Speed Slammers,0,27,0.000000
Rocka XL,2011,Heroes,0,49,0.000000
Brickmaster: Ninjago 2 - Fight The Power Of The Snakes,2012,Ninjago,0,81,0.000000
Wizwuz,2014,Series 3,0,26,0.000000
"Lampholders, Plate with Holders",1989,Service Packs,0,2,0.000000
Roof Tiles,2002,Service Packs,0,5,0.000000
Director,2001,Studios,0,4,0.000000
Bandit's Wheelgun (Boxed),1997,Cowboys,0,17,0.000000
Advent Calendar 2007 Belville (Day 14) Flowers,2007,Belville,0,6,0.000000
D2C Minifigure Retro Set 2014,2014,Space,0,14,0.000000
Carbon Star,2006,Tiny Turbos,0,19,0.000000
Sea Helicopter,2001,Creator,0,9,0.000000
Advent Calendar 2004 Creator (Day 15) Reindeer,2004,Creator,0,6,0.000000
Speed Computer Add-on,2000,Technic,0,2,0.000000
Dirt Bike Transporter,2012,Off-Road,0,85,0.000000
Off Road Command Center,2012,Police,0,117,0.000000
Advent Calendar 2014 Star Wars (Day 14) - Moisture Vaporator ,2014,Star Wars,0,5,0.000000
Mail Van,1980,Train,0,43,0.000000
Medium Bucket,1999,Basic Set,0,10,0.000000
Fairyland Promo (Polybag),2003,Fairy-Tale,0,16,0.000000
Ferrari F1 Racers,2009,Racers,0,31,0.000000
1 x 8 Light Grey Bricks,2000,Bulk Bricks,0,1,0.000000
Kanan's Speeder Bike,2016,Star Wars Rebels,0,73,0.000000
Santa,1989,Christmas,0,15,0.000000
Large Tires and Wheels / TECHNIC Wheels with 43 mm + 24 mm Tyres,1989,Technic,0,3,0.000000
Differential Gear Housing,1982,Technic,0,8,0.000000
Rapid River Village,1997,Indians,0,104,0.000000
Tungster,2015,Series 5,0,24,0.000000
"LEGO Store Grand Opening Exclusive Set, Kenwood Towne Centre, Cincinnati, OH",2009,LEGO Brand Store,0,33,0.000000
Actor 1,2001,Studios,0,4,0.000000
T- and Intersection Plates,1986,Service Packs,0,2,0.000000
Tow Truck,1985,Traffic,0,32,0.000000
Advent Calendar 2004 Clikits (Day 11) Icons,2004,Clikits,0,7,0.000000
Infrared Transmitter with USB Cable,2001,RCX,0,2,0.000000
Photosynthesis Student Set,2008,Learning,0,3,0.000000
Try Bird,1999,Extreme Team,0,25,0.000000
Hidden Sword,2012,Ninjago,0,15,0.000000
Recycling Truck,2012,Traffic,0,104,0.000000
Gear Casings (Pack of 10 contained 20 prior to 2005 Dacta catalog),2002,Technic,0,1,0.000000
A World of LEGO Mosaic 9 in 1,2007,Mosaic,0,22,0.000000
Stephanie’s Cool Convertible,2012,Friends,0,72,0.000000
Stuntman Catapult,2001,Studios,0,22,0.000000
Maximillian Mouse,1982,Fabuland,0,5,0.000000
Jayko,2005,Knights Kingdom II,0,6,0.000000
Lakeside Lodge,2016,Creator,0,90,0.000000
Advent Calendar 2000 (Day 23) Helicopter,2000,Advent Sub-Set,0,7,0.000000
Town Developers Set,2007,Town,0,107,0.000000
Seaplane,2013,Coast Guard,0,27,0.000000
Shipwrecked Pirate,1994,Pirates I,0,14,0.000000
Police Dinghy,2010,Police,0,14,0.000000
Vladek (European version without Cards),2004,Knights Kingdom II,0,19,0.000000
Xcyber,1997,UFO,0,24,0.000000
Low-Loader and Tractor,1971,Construction,0,27,0.000000
Berp,2015,Series 6,0,27,0.000000
Wild Hunters,2005,Designer Sets,0,88,0.000000
Super Battle Droid™,2002,Star Wars,0,58,0.000000
Sports Airplane,1984,Airport,0,9,0.000000
Auto Pod (Toy Fair Nuernberg Promotion),2004,X-Pod,0,23,0.000000
A-Wing,2017,Star Wars Rebels,0,21,0.000000
Tractor,1986,Farm,0,64,0.000000
Ultimate LEGO House Building Set,2006,Basic Set,0,52,0.000000
Moulding Machines,2011,LEGO Brand Store,0,111,0.000000
The Shellraiser Street Chase V2.0,2013,Teenage Mutant Ninja Turtles,0,151,0.000000
"LEGO Store Grand Opening Exclusive Set, MyZeil, Frankfurt, Germany",2009,LEGO Brand Store,0,21,0.000000
Basketball,2003,Basketball,0,18,0.000000
Tipping Wagon,1969,4.5V,0,10,0.000000
Lion,1987,Basic,0,4,0.000000
Pirate Treasure,1994,Pirates I,0,34,0.000000
Gray Fences,2002,Bulk Bricks,0,4,0.000000
"AT-AT, blue box",2004,Star Wars Episode 4/5/6,0,164,0.000000
Monthly Mini Model Build February 2015 - Space Shuttle,2015,Monthly Mini Model Build,0,16,0.000000
JEK-14 Mini Stealth Starfighter - San Diego Comic-Con 2013 Exclusive,2013,Star Wars,0,49,0.000000
Advent Calendar 2007 Belville (Day  4) Jewel Chest,2007,Belville,0,5,0.000000
Fences and Gates,1987,Service Packs,0,3,0.000000
RC Tracked Racer,2017,Technic,0,55,0.000000
Mini Bulldozer,2008,Construction,0,16,0.000000
"Crane, Crane Hooks and Ladders",1989,Service Packs,0,3,0.000000
Police Patrol with Policemen,1975,Police,0,22,0.000000
"Baseplates, Green",1972,Supplemental,0,1,0.000000
Basic Bricks,1987,Universal Building Set,0,4,0.000000
Mini Mobile Crane,2011,Construction,0,63,0.000000
Assorted Light Gray Bricks,2004,Bulk Bricks,0,11,0.000000
Piggy Coin Bank,2015,Other,0,38,0.000000
ROCKA Crawler,2014,Heroes,0,30,0.000000
Motorized Universal Building Set,1990,Universal Building Set,0,57,0.000000
Airplane,1985,Airport,0,19,0.000000
Crater Creeper,2013,Galaxy Squad,0,72,0.000000
Star Destroyer,2012,Star Wars Episode 4/5/6,0,18,0.000000
8 Straight Rails Gray 4.5v,1980,4.5V,0,2,0.000000
Circus Ringmaster Polybag,2013,Duplo,0,3,0.000000
2 x 2 Dark Green Bricks,2000,Bulk Bricks,0,1,0.000000
Buildable Brick Box 2x2,2014,LEGO Brand Store,0,44,0.000000
Flowered Hair Bands,2004,Clikits,0,4,0.000000
Tahu Mask - New York Comic-Con 2014 Exclusive,2014,Bionicle,0,1,0.000000
MUJI Sea Set,2010,Other,0,10,0.000000
Chicken Coop,2010,Duplo,0,8,0.000000
Angel,2003,Christmas,0,15,0.000000
Airport Fire Truck,2014,City,0,96,0.000000
Battle Station,2016,Nexo Knights,0,7,0.000000
Combine Harvester,2009,Farm,0,114,0.000000
Mosquito,1999,Insectoids,0,16,0.000000
Crawley’s Claw Ripper,2013,Legends of Chima,0,67,0.000000
Parrot's Perch,2013,Animals,0,19,0.000000
Christmas Tree,2011,Christmas,0,17,0.000000
Food,2014,Duplo,0,5,0.000000
Number Train,2013,Duplo,0,20,0.000000
Creative Building Set,2016,Classic,0,101,0.000000
Scooter,1976,Building Set with People,0,19,0.000000
Monthly Mini Model Build Set April 2013 - Lamb and Sheep,2013,Monthly Mini Model Build,0,14,0.000000
"Advent Calendar 2012, Friends (Day 14) - Dog Basket with Bone",2012,Friends,0,5,0.000000
Clikits Bracelet Star,2004,Clikits,0,7,0.000000
Decorated Elements,1991,Service Packs,0,19,0.000000
Large Creator Bucket,2003,Basic Set,0,79,0.000000
Little Car,2013,Traffic,0,22,0.000000
Airplane [Legoland Deutschland],2002,Legoland Parks,0,14,0.000000
Monster Pod,2005,X-Pod,0,26,0.000000
24 Tooth Gears (Pack of 50),2002,Technic,0,1,0.000000
"Advent Calendar 2012, Friends (Day 24) - Corner Table with Beauty Accessories",2012,Friends,0,8,0.000000
Advent Calendar 2010 Kingdoms (Day 15) - Jousting Dummy with Helmet and Halberd,2010,Castle,0,8,0.000000
Breakdown Truck and Car,1973,Factory,0,30,0.000000
Holiday Ornament with Red Bricks ,2011,Christmas,0,3,0.000000
Fire Formula,1999,Extreme Team,0,26,0.000000
Advent Calendar 2008 Castle (Day 22) - Catapult,2008,Castle,0,9,0.000000
Shell Double Tanker,1973,Gas Station,0,21,0.000000
Red Player & Goal,2004,Hockey,0,21,0.000000
Vanity Fun,1995,Playhouse,0,14,0.000000
AT-AT,2016,Star Wars,0,21,0.000000
AT-ST,2007,Star Wars Episode 4/5/6,0,80,0.000000
"Advent Calendar 2012, Friends (Day 7) - Friends Accessories",2012,Friends,0,13,0.000000
Happy Beach,2016,Friends,0,13,0.000000
Dairy Tanker,1989,Food & Drink,0,51,0.000000
Black Knight,1992,Black Knights,0,20,0.000000
Motors (4.5V),1985,Technic,0,1,0.000000
Advent Calendar 2006 City (Day 19) Mechanic,2006,City,0,5,0.000000
2 x 4 Bricks (The Building Toy),1966,Supplemental,0,1,0.000000
Red Recon Flyer,2002,Airport,0,16,0.000000
Coca-Cola Defender 4,2002,Soccer,0,4,0.000000
"Advent Calendar 2013, Star Wars (Day  7) - Weapons Depot",2013,Star Wars,0,10,0.000000
Rescue Robot,2011,Basic Model,0,55,0.000000
XT Starship,1986,Classic Space,0,71,0.000000
Little Eagle,2013,Creator,0,20,0.000000
Two Santas and Tree,1978,Christmas,0,12,0.000000
Duplo Farm Polybag (cat),2014,Duplo,0,3,0.000000
Fire Emergency,2013,Fire,0,112,0.000000
2 x 3 Plates - Black (architectural hobby und modelbau version),1962,Architecture,0,3,0.000000
Paravane,1996,Aquanauts,0,13,0.000000
Kashyyyk Troopers,2014,Star Wars,0,46,0.000000
Advent Calendar 2004 Creator (Day 11) Goose,2004,Creator,0,9,0.000000
Friends Tic-Tac-Toe,2017,Friends,0,10,0.000000
"Baseplates, Red and Blue",1971,Supplemental,0,1,0.000000
Build Your Dreams,2002,Basic Set,0,25,0.000000
Christmas Tree,2002,Christmas,0,7,0.000000
12-Stud Axles (Pack of 50),2002,Technic,0,1,0.000000
Red Fury,1999,Model Team,0,98,0.000000
Touch Sensors,1987,Technic,0,1,0.000000
Velika,2006,Matoran of Voya Nui,0,11,0.000000
Police Watercraft,2014,Police,0,27,0.000000
NBA Jam Session Co-Pack,2003,Basketball,0,38,0.000000
Ronin,2016,Ninjago,0,8,0.000000
Battle Dragon,1990,Black Knights,0,27,0.000000
Starter Set 300,1998,Classic Basic,0,40,0.000000
Battery Box 4.5V,1987,Service Packs,0,1,0.000000
Knights,1984,Supplemental,0,18,0.000000
Super Heroes Unite - Green Lantern - San Diego Comic-Con 2011 Exclusive,2011,Justice League,0,4,0.000000
Mag Wheel Master,1998,Riding Cycle,0,76,0.000000
Armored Assault Tank (AAT),2009,Star Wars Clone Wars,0,120,0.000000
The Ghost Starship,2014,Star Wars Rebels,0,46,0.000000
Flags and Fences,1988,Supplemental,0,8,0.000000
Championship Challenge,2000,Soccer,0,52,0.000000
Bus (Legoland Deutschland),2002,Legoland Parks,0,20,0.000000
Desk,2012,Friends,0,18,0.000000
Cross Road Plates,1997,Supplemental,0,1,0.000000
Wagon with Double Tippers,1972,4.5V,0,8,0.000000
Prehistoric Power,2006,Creature,0,73,0.000000
Cottage,1979,Fabuland,0,21,0.000000
Fire Boat,2010,Fire,0,116,0.000000
Action Wheelie,2006,Power Racers,0,39,0.000000
Large House Set,1971,Minitalia,0,12,0.000000
Mineral Detector,1980,Classic Space,0,23,0.000000
Krusty the Clown,2014,The Simpsons,0,5,0.000000
Angles Swivels Turntables,1985,Service Packs,0,5,0.000000
Guurahk - With Shadow Kraata (Promotional Set),2003,Rahkshi,0,20,0.000000
Advent Calendar 2010 Kingdoms (Day 22) - Owl in Tree,2010,Castle,0,4,0.000000
Kraang's Turtle Target Practice,2013,Teenage Mutant Ninja Turtles,0,21,0.000000
Ferrari Victory,2009,Ferrari,0,47,0.000000
Turkey,2014,Thanksgiving,0,36,0.000000
"Advent Calendar 2013, Friends (Day 24) - Present with Letter",2013,Friends,0,6,0.000000
Curved Track (Curved Rails),1993,Duplo,0,1,0.000000
Technojaw T55,2002,Spybiotics,0,58,0.000000
Front End Loader,2003,Construction,0,54,0.000000
Universal Building Set,1976,Basic Set,0,141,0.000000
Umbaran MHC,2013,Star Wars Clone Wars,0,24,0.000000
Traffic Police Set,1956,Town Plan,0,6,0.000000
Race Rig,2009,Power Racers,0,50,0.000000
Hahli,2003,Matoran of Mata Nui,0,17,0.000000
"Advent Calendar 2014 City (Day 20) Axe, Shovel and Logs",2014,City,0,4,0.000000
Midnight Streak,2008,Tiny Turbos,0,17,0.000000
Pullback Motor,1996,Supplemental,0,9,0.000000
Mighty Mech Bot,2016,Nexo Knights,0,18,0.000000
RIO 2016 MASCOTS,2016,Promotional,0,32,0.000000
Harry Potter Quidditch Tower (TRU Event Exclusive),2002,Harry Potter,0,8,0.000000
Ogel Marine Slizer,2002,Mission Deep Sea,0,18,0.000000
Octan Racer,1992,Race,0,28,0.000000
Technic 40 year anniversary model (42057 + 42061 + 42063),2017,Technic,0,87,0.000000
Advent Calendar 2003 Creator (Day 21) Robot,2003,Creator,0,9,0.000000
"LEGO Store Grand Opening Exclusive Set, Penn Square Mall, Oklahoma City, OK",2009,LEGO Brand Store,0,24,0.000000
Tow Truck and Car,1978,Traffic,0,21,0.000000
Car Repair Shop,1985,Traffic,0,85,0.000000
Takeshi Walker 2,2006,Exo-Force,0,16,0.000000
Knight's Stronghold,1990,Black Knights,0,73,0.000000
Rapid Return,2003,Basketball,0,31,0.000000
"Small Plates, Disks and Cones",1989,Service Packs,0,5,0.000000
Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,RoboRiders,0,15,0.000000
2 x 8 & 2 x 10 Bricks,1955,Supplemental,0,2,0.000000
Small Aircraft,2001,Airport,0,7,0.000000
Large Spruce Trees,2000,Bulk Bricks,0,1,0.000000
Straight Road Plates,1986,Supplemental,0,1,0.000000
Harley-Davidson 1000cc,1976,Hobby Sets,0,36,0.000000
Airline Promotional Set - ANA limited edition,2008,Airport,0,67,0.000000
Darth Vader 10 Year Anniversary Promotional Fig polybag,2009,Star Wars Episode 4/5/6,0,2,0.000000
Pearly Pink Bracelet & Bands,2006,Clikits,0,10,0.000000
Giant Lego Dacta Basic Set,1997,Universal Building Set,0,60,0.000000
"Christmas Tree Ornaments, Build Your Own Holiday Ornaments",2009,Creator,0,17,0.000000
Container Truck,2010,Construction,0,83,0.000000
Thor and the Cosmic Cube,2012,Avengers,0,20,0.000000
Farm Nursery,2010,Duplo,0,6,0.000000
Wizard's Cart,1995,Castle,0,16,0.000000
Fire and Ice Minifigure Accessory Set,2014,Legends of Chima,0,33,0.000000
Spider Crawler,2014,Legends of Chima,0,19,0.000000
Speedboat,1997,Harbor,0,17,0.000000
Kopaka,2001,Toa,0,22,0.000000
